REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE,day
9/5/17 16:55,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17153806,397430,136664,9/5/17 15:39,9/5/17 16:55,3
9/6/17 12:20,DAY,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17154248,397496,136610,9/6/17 10:45,9/6/17 11:12,4
9/12/17 16:59,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17158206,397226,136542,9/12/17 15:33,,3
2/5/18 21:03,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 12TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18020285,397563,136664,2/5/18 19:01,2/5/18 19:20,2
2/6/18 10:16,DAY,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF PENNSYLVANIA AVENUE NW,2,207,2,2C,Cluster 8,006202 1,6202,Precinct 129,18020557,397155,136497,2/6/18 10:06,2/6/18 10:07,3
9/20/17 12:42,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 12TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17163318,397563,136664,9/20/17 12:12,9/20/17 12:16,4
9/27/17 13:25,DAY,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,17167833,397227,136991,9/27/17 0:10,9/27/17 9:45,4
10/3/17 17:51,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17171585,397497,136718,10/3/17 16:16,10/3/17 17:51,3
11/30/17 21:24,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 14TH STREET NW,2,207,2,2C,Cluster 8,005800 1,5800,Precinct 129,17207020,397227,136665,11/30/17 17:48,11/30/17 19:00,5
11/14/17 17:47,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17197384,397430,136664,11/14/17 15:00,11/14/17 16:00,3
11/22/17 14:59,DAY,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF H STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17202225,397496,136885,11/22/17 13:30,11/22/17 14:00,4
12/7/17 19:44,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17211226,397497,136718,12/7/17 17:30,12/7/17 17:35,5
12/7/17 22:40,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF NEW YORK AVENUE NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17211368,397298,136869,12/7/17 14:00,12/7/17 17:00,5
12/8/17 14:54,DAY,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17211688,397497,136718,12/8/17 13:35,12/8/17 13:45,6
12/8/17 14:41,DAY,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17211693,397497,136718,12/8/17 14:10,12/8/17 14:20,6
8/13/17 13:18,DAY,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17139434,397497,136718,8/13/17 12:05,8/13/17 12:31,1
10/14/17 19:59,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 14TH STREET NW,2,207,2,2C,Cluster 8,005800 1,5800,Precinct 129,17178506,397227,136665,10/14/17 18:00,10/14/17 19:59,7
8/19/17 22:18,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17143522,397226,136542,8/19/17 21:14,8/19/17 22:17,7
